1,9,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1
49,Sollentuna församling,Sollentuna,Sollentuna kraftstation,,,,,.,,-,-,-,.,.,-,-,-,-,,49
50{,A .- B. Optimus och,Fresta,Ab. från Älvkarleby kraft-,,,,,,,,,,,,,,,,,
,A .- B. Väsby verkstäder,,verk,-,-,-,3-fas,50,20000/3000/220,350,,-,275,91,38,404,-,459 616,,50
51/,Väsby samhälle och Eds el. distr .- fören. Hammarby el. distr .- fören. 1,Ed,,-,-,-,,50,20000/3000/220,200,4 15,95 159 31,42 120 58,24 21 14,52 11,118 152 72,- 530 642,147 529 56 976 23 604,,151
52,"1
och",Hammarby,,-,-,-,,50,20000/3000/380,-,92,33,21,3,-,24,-,11 381,,152
,Torsåkers gård,,,,,,,,,,,,,,,,,,,
53,"A .- B. Uddnäs kem. fabr., Stäkets El. A .- B.",Ed,3 2,-,-,-,,50,20000/3000/220,30,2,18,50,6,-,56,100,11 111,,53
54 1,"Bolanders Mek. Verkst. A .- B. Järfälla el. distr .- fören., 1",Järfälla,=,-,,,,50,20000/110,,5,46,40,25,,65,-,23 922,,54
55 -,Hässelby municipalsamhälle och,Järfälla och,,,,,,,,,10,132,86,35,7,128,1 198,54 507,,-
,Spånga västra el. distr .-,Spånga,2,,-,-,,50,20000/3000/220,150,-- 12,186,126,119,29,274,,155 386,,455
,fören.,,,,,,,,,,5,30,10,33,9,52,55,20 896,,
56,"Fören. Edsbergs egna hem, Turebergs villaägarefören. och",Sollentuna,2,-,-,-,,50,,90,7,,17,28,12,57,,25 705,,156
,A .- B. Skånska cement- gjuteriet,,,,,,,,20000/3000/220,,2,,23,51,45,119,,59 693,,
57,"Edsvikens el. distr .- fören., Ålkistans el. distr .- fören., Hagalunds municipalsamh., Järva el. distr .- fören., Bergshamra el. distr .- fören., 1 Ulriksdals slott, Haga slott m. fl.",Solna,»,-,-,-,,50,20000/3000/220,200,3,40,27,26,-,53,-,24 336,,57
58,Råsunda Förstads A .- B. och) Stockholms Nya Spårvägs A .- B.,=,- Råsunda kraftstation,,,380,,50,20000/ · 2 × 220 och 600 /,.,3,841,2 410,404,220,3 034,--,1 965 318,,58
59,A .- B. Elevator,,Ab. från Älvkarleby kraft- verk (Ab. från Stockholms el .-,-,-,,3-fas,50,20000/ ·,150,-,-,166,32,91,289,-,349 162,,59
,,,verk,a,,,,25,6000/380 och 220),,,,,,,,,,,
60,A .- B. Sundbybergs el .- verk3),Sundbyberg,Sundbybergs kraftstation |Ab. från Alvkarleby kraft- verk,-,-,-,,50 50,2000/190 20000/1200,,4,1 600,1 800,1 645,198,2 643,150,2 204 492,,60
61 1,Edsbergs och Bergendals egendom samt Stocksunds pumpstation,Solna,,-,-,-,,50,/300/220 120000/,-,2,20,9,6,1,16,100,10 116,,61
62 1,"Enebybergs el. and .- foren., Danderyds el. distr .- fören.,","Danderyd,",,,-,-,,,,,9,105,34,66,40,140,582,56 160,,
,Mörby lasarett och,Täby,,-,,,,50,20000/3000/220,150,12,70,11,35,23,69,,26 753,,
,"C. R. Lamm, Nasby",,,,,,,,,,9,50,21,45,-,66,,41 149,,
63,Djursholms stads el .- verk,Djursholm,Djursholms kraftstation,d,-,"-
135",,50,20000/5000/220 2×110 och 2 ×220,-,2,250,130,1 086,1 301,2 517,,1 246 216,,63
64,Stockholm-Roslagens järn- vägar,Stocksund,Stocksunds kraftstation Ab. från Älvkarleby kraft-,,-,890,"L
1-fas",50,700 3000/2 × 110,,.,.,1 990,106,283,2 379,-,2 067 434,,64
,,,verk,-,-,-,3-fas,50,20000/3000,,,,,,,,,,,
"1
65",Stocksunds köpings el .- verk| och Långängens el. distr .- fören.]!,Stocksund,,,,-,,50,20000/3000/2 × 110,300,.,1 100,,,,,-,,,65
