1,,3,,5,1 6,7,8,9,10,11,12,13,14,,,17,18,19,20,1
93,Nykvarns Pappersbruk A .- B.,Turinge,Ab. från Älvkarleby kraft-,-,-,-,3-fas,50,20000/500/220,.,,-,,,,,-,,,93
94 95,Turinge el. distr .- fören. och Nykvarns Torv A .- B. Fr. Berglund,,"verk
Lundvik",-,"-
:unselected:",- 50,=,50 50,20000/ · 800,60 -,48 -,226,144,54 .,10 .,208 .,958,81 312 . .,,",94 95"
96,Salems el. distr .- fören.,Salem,Ab. från Älvkarleby kraft-,-,-,,,50,20000/3000/220,130!,11,58,27,17,4,48,297,24 582,,96
97,Salems östra el. distr .- fören.,,verk,-,-,-,,50,20000/3000/220,,15,147,90,9,,99,673,47 763,,97
,Ekerö-Lovö el. distr .- fören.],,,,,,,50,20000/3000/220,-,25,265,150,29,,179,905,147 835,,
98,och,"Ekerő, Lovö",,,-,-,,,,150 U,,,,,,,,,,$98
,Drottningholms slott,,,,,,,-,2×110,,4,40,29,44,1,74,-,51 571,,
99,Ekerö västra el. distr .- fören. och,Ekerő,,-,,-,3-fas,50,20000/3000/220,150,21,233,190,40,8,238,1 093,69 537,,.99
100,Nya murbruksfabriken Sånga och Skå el. distr .- fören. och,"Sånga, Skå",,-,,-,,50,20000/3000/220,150%,39,313,240,53,,293,2 006,75 912,,100
,"1
Svartsjö tvångsarbetsanst.",,,,,,,,,,2,52,105,44,28,177,,59 815,,
101,Färentuna-Hilleshögs el. distr .- fören.,"Färentuna, Hilleshög",,-,-,,,50,20000/3000/220,60,28,158,90,49,7,146,914,55 130,,101
102 -,Munsö-Adelső el. distr .- ) fören. och,"Munso, Adelső",,-,-,-,,50,20000/3000/220,90!,25,186,115,44,-,159,1 000,24 827,,102
,Sand & Grus A .- B. Jelander,,,,,,,,,1,1,30,31,,-,3,,3 948,19) år 1923,
103,"Stockholms stads vattenverk
i Norsborg",Botkyrka,,-,-,-,,50,20000/lågsp.,,2,1 360,1 150,38,2,1 190,,3 253 780,,103
104,"Fittja el. distr .- fören., Fittja tegelbruk m. fl.",,,-,,-,,50,20000/3000/380,200,16,70,64,30,13,107,788,29 245,,104
105,"Uttrans kraft A .- B. med abonnenterna: Uttrans El. A .- B., Rönninge
El. A .- B., Tumba El. A .- B. Riksbankens pappersbruk","Salem, Bot-
kyrka Grödinge",=,-,-,-,,50,20000/3000/220 20000/ -,150,39,363,190,196,130,516,478,190 631,,¥105
106 107,Norra Grödinge el. distr .- fören. Tullinge El. A .- B.,Grödinge Botkyrka,» Uttrans Kraft A .- B. A .- B. Separator,-,- -,"1 |
- -",,50 50,3000/220 20000/3000/220,,2,385,280 .,90 -,10 -,380,270 -,297 633 .,,106 107
108,A .- B. Separator,,Hamra Ab. från Älvkarleby kraft- 1 verk,v,,"|
30
-",,50 1 50,20000/800,,,,,.,.,250,,.,,108
1 109!,Huddinge egendomars el.) kraftfören. och Huddinge el. distr .- fören.,Huddinge,,-,-,-,,50,20000/3000/220,- 150,12 8,161 105,72 51,24 148,- -,96 199,- 634,"33 308
81 131",,109
110,Drevvikens el. distr .- fören.,Österhan- ninge,Uddby,-,14,- 300,,50 25,20000/3000/220 10000/380,60,15,99,43,64,25,132,535,60 651,19) år 1923,110
111,Luth & Roséns El. A .- B.,Tyresö,Ab. från Stockholms el .-,,,-,,25,6000/ ·,-,-,-,,,,,-,.,,111
112,Dalarö el. distr .- fören.,Dalarö,verk Ab. från Älvkarleby kraft- verk,-,-,-,,25,20000/6000/220,90,5,70,7,40,34,81,185,42 142,19) år 1923,112
113,Södra Grödinge el. distr .- fören.,Grödinge,,-,-,-,,50,20000/3000/220,60,5,33,83,8,-,91,516,16 179,,113
114,Lundby el. distr .- fören.,Sorunda,,,,,,50,20000/3000/220,60,12,85,53,18,1,72,546,21 454,19) år 1923,114
115,Västerhanninge el. distr .- fören.,Västerhan- ninge,,,,,,50,20000/3000/220,120/,33,221,115,51,.9,175,1 334,84 469,,115
116,Tungelsta el. distr .- fören.,,,,-,,,50,20000/3000/220,,7,211,15,21,8,441,60,29 317,,116
