9,10,11,12,13,14,15,16,17,18,19,20,1
50,20000/3000/220,60,19,86,52,24,-,76,1 158,23 138,,117
50,20000/3000/220,60,31,221,160,26,-,186,1 407,47 250,,118
50,20000/3000/220,100,34,280,180,25,1,206,1 205,73 684,,119
50,20000/3000/220,90,34,234,140,28,3,1711,1 602,74 785,,
50,20000/3000/220,150,6,51,19,8,3,30,200,27 514,,121
50 1,20000/3000/380,600 -,10,615,690,214,32,936,,492 544,,
50,och 190,,,,,.,,,,.,,1122
50,20000/3000/220,120,47 3,360 120,280 27,56 40,- 7,336 74,1 900 -,97 764 40 099,,123
-,,-,-,-,-,-,-,-,,-,,124
50,20000/3000/220,100,42,340,210,69,5,284,1 528,88 225,,12:
,440,,,,,,.,.,.,.,,126
50,20000/3000/220,.,.,.,.,,.,.,.,.,,127
50,20000/3000/220,,.,,,.,.,,,,,128
