1,2,8,4,5,6,7,8,9,10,11,,13,14,15,16,17,18,19,20,21,22,1
26,Johan Johanson,Lekvattnet,Källstorps kraftstation,vatten,6.5,1,likström,,,23,10,-,-,-,-,,-,,,,,26
27,Fernström & Nilsson,,Östanå,2,3,2,=,,,9,1,,二,,,0'4,,,,1,,27
28,Billeruds A .- B.,,Gustafsdals kvarn,,4,2.5,,,,50,-,-,,,,,,-,1.2,1,,28
29,"Sönrudshedens elektriska
förening",Fryksände,Sönrudshedens kraftsta- tion,,,16,3-fas,5,,225,,,,,,9,-,,9,,,29
30,Alfred Nilsson,=,Krockås såg,,5-6,3.5,likström,,,30,-,,,--,-,1.2,,-,,1),,30
31,Sågbackens elektr .- verk,,Sågbackens kraftstation,,7-9,85,3-fas,,500/380,1 000,700,-,8,68,31.5,27.5,7,-,66,,,31
32,Billeruds A .- B.,»,Bada bruk,,1,,likström,,,20,90,,,,,1.3,,,1.3,,,32
33,Qvarnström & Person,Lysvik,Kvarnåsens kraftstation,vatten,3-4,7,,,,eget,behov,,,,5.5,0'8,,,6.3,1),,
34,B. A. Pettersson,,Rambysåkers 2,,5-6,8,=,,220,200,200,,,-,-,,,,5,,,
35,Hj. Svensson,,Hedarne,,3-4,7,,,,30,(50),,-,--,17,3,-,,20,,,35
36,Timansfallets byamän,N. Råda,Timansfallets,,10-12,5,,,220,50,40,-,-,-,-,2.5,,,2.5,1,,
37,Lovisebergs,,Lovisebergs,,,5,,,,50,75,,-,-,-,1.5,,,1.5,1),,37
38,Bäck kraft A .- B.,Sunne,Bäcks,,40.5,600,3-fas,,5000/380,3 600,3 000,500,23,405,177,80,254,,511,15,,38
39,Karsbols elektriska an- delsförening,,Karlsbols,,36,60,,,5000/380,1 000,1 000,50,8,78,64,40,,,104,1),,39
40,Kullberg & Mayer,Rottneros,Stöpafors 2,,17,100,,,5000/380,2 000,3 000,100,13,70,21,63,50,-,134,100 000,,40
41,Brunzell,,Lersjöfors =,,10,4,likström,,,20,19,,,-,,2.5,,-,. 2'5,,,41
42,Tyberg & Nilsson,Gräsmark,Sydv. Rottna,,6,18,,,220,180,128,,--,-,,6,,,6,,,42
43,Emil Johansson,,Borra kvarn,,8-5,3,,,,20,17,,,,,1,,,1,,,43
44,A .- B. Edsvalla Bruk,,Högfors kraftstation,2,16-17,200,3-fas,5,000/380,1 100,1 500,100,15,114,15,25,,,40,1,,
45,Billeruds A .- B.,Gunnarsberg,Treskogsbrukets,,3-5,25,,5,000/380,(50),(50),15,1,5,3.7,1.2,,,4'9,,,
46,Treskogs elektriska före- ning,,Abonnemang från Tre- skogsbrukets kraft- station,-,-,,,5,000/380,(100),(100),10,1,7.5,3-7,9,-,,12.7,1),,46
47,Gunnarsbergs elektriska A .- B.,,Bortans kraftstation,vatten,7.5,30,,5,000/380,600,487,25,6,40,37,15,-,-,52,1),,47
48,Billeruds A .- B.,Eda,Helgebodafors,,4,16,,,5000/380,(100),-,,-,,--,6:5,,,6.5,,,48
49,Håfvilsruds elektriska be- lysningsförening,,Abonnemang från Helge- bodafors kraftstation,,-,,,5,000/380,(100),-,-,1,5,-,000,-,,000,,,49
50,Eda glasbruks A .- B.,=,Eda glasbruk,vatten,,30,likström,,0,-,-,-,-,-,--,-,-,-,-,-,,50
51,Billeruds A .- B.,,Charlottenbergs kraftsta- tion,,21,550,3-fas,05,000/380,-,-,-,,,--,-,-,-,-,(1 000 000) 3),Anm. 3,51
52,Mellbyns belysningsföre- ning,,Abonnemang från Charlot- tenbergs kraftstation,,,,,,,,,,,,,,,,,,,52
53,Väsby elektriska distribu- tionsförening,,D:o,,,,,,,,,,,,,,,,,,,53
54 55,Emteruds elektriska an- delsförening Lina elektriska andels- förening,,D:o D:o,,,,,5,000/380,5 000,1 100,,12,445,236,60,121,18,435,,,54 55
56,Charlottenbergs bruk,,D:o,,,,,,,,,,,,,,,,,,,56
57 58,Morast och Vestergårdens elektr. andelsförening Adolfsfors A .- B.,Köla,D:o Adolfsfors kraftstation,vatten,8.5,125,,,000/380,1 600,2 500,125,18,109,167 67,,,,,1),,"57
58"
59,Olof Bengtsson,Skillinge- mark,Skillingsfors,,,75,,€,100/380,1 000,500,75,11,76,91,,-,-,,,Anm. 3,59
60,Sundshagfors bruks A .- B.,,Sundshagfors,,41,30,likström,,,50,50,-,-,-,-,--,34,32,56,1),,60
61,"A .- B. Järnskogs elektri-
citetsverk",Järnskog,Järnskogs elektricitets- verk,,3-4,110,3-fas,:,000/380,2 000,2 000,100,15,170,292,125,,,417,1,,61
