1,2,,1,5,6 91,7,8,9,,11,12,18,14,15,16,17,18,19,20,21,22,1
98,"Ortsdistributionen från Nain, Knon, Malta, Stjärnfors, Krakerud och Forshult","Gustaf Adolf, N. Råda och Eks- härad",Abon. från Uddeholms A .- B.,,,,3-fas,25,12 000/500 o. 190,20 000,6 000,7 500,213,48 440,714,1 156,47 930,-,59 800,98 334 000,,98
99 100,"Uddeholms A .- B. Bogeruds elektriska an-
delsförening","Ransäter
Hammarö",Skoghallsverken Abonnemang från Udde- holms A .- B.,ånga -,-,800 -,,25 25,50 000/3 000/500 2 000/3 000/190,650,396,25,6,52,"11.2
Anslutning","7
se nr",104,-,18:2,,,99 100
101,Ransäter elektriska före- ning,,D:o,-,-,-,,25,2 000/3 000/190,2 500,382,50,15,147,116,67,,-,183,-,,101
102,Övre Ulleruds elektriska andelsförening,Öv. Ullerud,D:o,,,,,25,2 000/500/110,2 500,603,50,6,125,110,30,-,-,140,-,,102
103 104,"Grava elektriska A .- B. Uddeholms A .- B. (Skog-
hallsverken)","Hammarö
Grava",D:o Kraftleverans från Udde- holms A .- B.,,,,,.25 25,2 000/500/127 0 000/3 000/500 0. 110,2 500 4 000,2 050 123,500 9 000,18,297-5 4 403,262,90,44 10 960,225,396 11 185,282 000 18 255 000,,103 104
105,D:o (Hammarö),,D:o,,,,=,25,50 000/3 000/500 0. 110,1 000,1 000,--,4,60,15.5,2.5,489,8,515,496 000,,105
106,Skattkärr torv A .- B.,Ö. Fågelvik,D:o,,-,-,,25,2.000/500 o. 110,,,-,1,150,,-,86.5,0.5,87,,,106
107,Mindre anläggning,Alster,D:o,,,,,25,2 000/190,-,,-,1,40,,-,-,,,,Anm. 5,107
108,Skogafors kvarn,Uddeholm,,vatten,5-6,2.5,likström,-,B20,20,(20),-,,,,0-5,,-,0:5,,,108
109,Uddeholms A .- B.,N. Ráda,Sunnemo kraftstation,,17.5,90,3-fas,50,000/380,1 500,800,100,8,.40,,48,52,25,125,108 000,,109
110,Dito,Nordmark,Motjärnshyttans,,7,45,likström,,220,150,85,,,,-,4,55,,59,,,110
111,A .- B. Mölnbacka -- Trysil,Älvsbacka,Östanå,,4,45,3-fas,50,0 000/380,(800),853,20,5,28.5,1.2,25,-,-,26.2,1),,111
112,Karl Johansson,Brattfors,Pardixhyttans kvarn,,1,2,likström,,20,5,10,,,,,1,,-,1,,,112
113,Uddeholms A .- B.,,Brattfors bruk,,3.9,41,3-fas,50,00/220,100,150,,2,27.5,31.7,16.5,28,,76.2,1,,113
114,Vestanå elektriska belys-| ningsförening,Nyed,Asksjöns kraftstation,,9.5,19,,50,000/380,125,172,5,1,5,5.5,3.6,-,-,9.1,,,114
115,Dala Väveri A .- B.,,Fösked 2,,7,99,,50,000/380,400,83,100,-,-,5.5,21,107.5,-,134,1,,115
116,D:o,,Råglanda,,7,91,,50,,,,,,,,,,,,,,116
117,Karl Persson,,Tröskeds kvarn,,7,30,likström,-,2×220,(400),430,,-,,20.5,15.5,-,-,36,1),,117
118,Uddeholms A .- B.,,Lindfors gård,,6,15,,-,120,120,130,,,,20,5,,,25,1),,118
119,Blombacka A .- B.,,Blombacka kraftstation,,29.5,500,3-fas,50,000/380,400,160,60,1,60,7.5,3.2,412'6,27.1,451,6,,119
120,Hulteby belysningsföre- ning,,Hulteby,,20,75,,50,0 000/380,2 500,1 500,70,18,212:5,152 5,51.8,3.7,-,208,1),,120
121,A. B. Molkoms kvarn- och grynverk,,Molkoms elektricitetsverk,,4'8,120,,50,0 000/380,200,260,40,1,3,5.5,0.8,21.3,-,27.6,1),,121
122,Råums belysningsföre- ning,,Abonnemang från Mol- koms elektricitetsverk,-,-,,,25,0 000/380,(300),350,,- 4,50,24.3,9,--,-,33.3,1),,122
123,Laskeruds elektriska be- lysnings A .- B.,,Laskeruds kraftstation,vatten,9.4,19,,50,000/380,70,175,23,1,25,14.5,3.5,-,-,18,1),,123
124,Nedre Ullerud-Hedås elektr. distribut .- för.,,Norums kvarn,,4.5,100,,50,0 000/380,-,,,,-,--,-,-,-,-,-,Anm. 6,124
125,A .- B. Mölnbacka-Trysil,Ned. Ullerud,Mölnbacka bruk,,19,25,likström,-,20,(300),300,-,-,-,6.5,25,-,-,21.5,,,125
126,Dejefors kraft o. fabriks A .- B.,,Dejefors kraftstation,,8 -- 12,6 900,3-fas,50,4 000/2 000/380,3 000,600,-,13,805,27,6,3 684,90,3 807,(20 021 000)2),,126
127,Frykfors A .- B.,St. Kil,Frykfors Samarbete med Dejefors kraftstation,,7-8,3 106,,50,4 000/2 000/,-,-,,-,-,-,-,-,-,-,(9 390 000)2),Anm. 7,127
128,Bröderna Johansson,Öv. Ullerud,Abonnemang från Deje- fors kraftstation,-,-,-,1900,50,000/380,225,257,-,1,35,13 2,75,47,-,67.7,40 000,,128
129,"Norsetorps-Lövåsen elek-
triska andelsförening",St. Kil,D:o,-,,,,50,000/380,120,205,,2,20,4.,3.8,,,8 2,12 000,,129
