1,2,3,4,5,6,,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1
192,Persbergs gruvaktiebolag,Fernebo,Persbergs kraftstation Abon fr. Hellefors A .- B.,vatten,4,60,3-fas,50,000/2 000/190,900,12,400,7,110,9.5,,118,30,1 220,1 100 000,,192
193,Mölnlycke Tomt A .- B.,R,Storbrons kraftstation Abon. fr. Hellefors A .- B.,vatten,2 -,7.5,likström 3-fas,- 50,0 000/380,30,150,100,-,-,8,,-,,12.5,1),,193
194,Tabergs Gruv A. B.,Nordmark,Stamparbo kraftstation Abon. fr. Hellefors A .- B.,vatten -,46 -,"600
-",,50,000/3 000/380,1 000,150,300,4,320,-,-,590,30,620,1 208 000,,194
195,Hellefors Bruks A .- B.,Gåsborn,Gustavströms kraftstation,vatten,"16
15.9",1 200,,50,000/,-,--,-,,-,-,-,,-,,2 259 0002),,195
196,D:o,,Ålvsjöhyttans,2,6,837,2,50,000/,--,-,-,,,,,-,,-,899 000,,196
197a,Lesjöfors A .- B.,,Stjärnfors,,5,200,,50,,,,,,,,-,,-,-,,,197 a
197b,D:o,Rämen 1,Lesjöfors Abon. fr. Hellefors A .- B.,,15,300 -,,50,000/2 000/380,500,-,400,,300,-,,600,40,640,,,197b
198,Billeruds A .- B.,,Rämens,vatten ånga,17.6,30 83,,50,300/220,300,150,,4,107,-,-,49,20,69,,,198
199a,D:o,,Liljendals nedre övre,,24.8 3.5,72 48,,50,0/380,125,120,,2,757.5,-,-,71,7,00,-,,199a
199b,D:o,,Oforsens kraftstation Abonnemang från Helle-,=,31'2 -,8.5 -,likström,-,<220,50,,-,-,-,-,-,3,5,00,1),,199b
200,"Långbanshyttan, Lesjö- fors A .- B.",Fernebo,fors bruks A .- B. Långbanshyttan,vatten,13.5,90,,50,000/500/220,400,-,300,-,,-,,54,5,59,-,,200
201 202,Aron Aronsson Nicklasdam elektriska A. B.,Gåsborn Olme,Gåsborns kraftstation -,-,10,7.6 -,,,0 0,230,500 -,,,-,,5,,,5,1),,201 202
203 20,Hedhults elektr. förening,Varnum,,-,-,-,.05,.0000,0,-,-,-,,-,-,-,-,,,-,,203
204,Maria Svensson,,,,,,likström,,0,,,,,,,,,,,,,204
205,Bäckhammars Nya A .- B.,,Jonsbols kraftstation,vatten,,c:a 50,3-fas,50,000/380,-,,,,,-,,,,,,,205
206,D:o,Visnum - !,Bäckhammars Abonnemang fr. Kr. A .- B. Gullspång-Munkfors,,5.5,136 -,,50,000/500,,-,-,-,-,-,-,,-,-,108 000 ),,206
207,Svartå bruks A .- B.,1,"Björneborgs kraftstation
Abonnemang fr. Kr. A .- B. Gullspång-Munkfors",vatten,9.5,88,,50,000/2 000,-,-,-,,-,-,-,-,-,-,-,,207
208 209,"S. Råda elektriska distri- butionsförening Rudskoga och Nysunds
elektriska distributions- förening",Nysund,D:o D:o,-,- -,-,- 08 -,50 50,000/380 000/1 500/220,(600) 2 500,600 3 000,160,- -,-,- 78,- 75,- 40,-- 1,- 194,- 260 000,,208 209
210,"Kristinehamns stad med
S. Varnums el. and .- för. m. fl. abonnenter","}
Kristine- 1 hamn",D:o Kristinehamns kraft- station,-- ånga,,1 000,"008
likström 45.00",1 000 0 50,"000 3 000/380
k150",(2 000),2 000,--,-,-,-,-,-,-,,-,,210
211,"Axel Runestam, Deje",Deje,Dömle kraftstation,vatten,3.9,125,3-fas,50,000/380,250,743,2.,3,30,53.5,12.5,-,-,66,1,,211
212 213,"C. O. Forslund, Tolita D:o och Billeruds A .- B.",Frykerud St. Kil,Tolita Rinnefors =,,6 19,-17.5 275,,"50
50",000/380,2 000,5 000,(15),23,252,26.4,100,67.6,-,194,1),,212 213
214,"Mjölnare Johansson, Fa- gerås",,Lene,,5,5,likström,-,0,60,191,-,-,-,-,1.,-,,,1),,214
215,Billeruds A .- B.,Brunskog,Moriansfors,,5-6,11,,,0,100,207,,-,-,,-,5.9,2,7.9,1),,215
216,Billeruds A .- B.,Brunskog,Brunsbergs,,56,5.,,,0,100,207,,,,7-4,4,,,11.4,1),,216
217,Nyström,,Berga,,5.4,6.5,»,,0,30,50,,,,13.1,2,,,15.1,,,217
218,Alfr. Andersson,,Lerolfors,,4,26,,,< 220,300,175,,,,7.4,4,,--,11.4,1,,218
219,Ljusefors elektriska A .- B.,,Svartåns,,6.5,15,,,220,250,500,,,,7.4,9,,-,16.4,,,219
220,And. Anderssons sterbhus,,Tångnäs,2,7,3.3,,,,17,10,,,-,2.2,1,,,3.2,,,220
221,Axel Olsson,,Gullsbyns »,,5,25,3-fas,50,00/380,400,665,,4,,3,15,-,,17,1,,221
222,Nils Nilsson,,Åmåtts,,4-5,2,likström,,,,124,-,-,-,,1,,,1,,,222
223,| (Joh. Nilsson),,D:o,,4,8,,,Ł 220,108,,-,,,,4,,,3,,,223
