1,2,,4,5,6,7,00,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1
224,"Mölneruds elektriska an-
delsförening",Brunskog,Mölneruds kraftstation,vatten,40,50,3-fas,50,000/380,400,375,45,4,67.3,14.7,16,-,-,30.7,1),JAnm. 1 6,224
225,Kraftbolaget Gylte,Mangskog,Gylteruds,,.2,20,likström,,-×220,300,149,-,-,,3'7,9,14.7,-,27.4,1),,225
226,Ullefors elektriska andels- förening,Arvika 1 .- f.,Ullefors,,8,30,3-fas,50,000/380,600,854,45,4,35,-,.30,-,-,30,1),,226
227,And. Anderssons sterbhus,,Skogslunds,,4-5,6,likström,--,× 220,(50),(50),,--,--,17.4,,,,18.9,1),,227
228,Joh. Olovsson,,Segerfors,,4-5,12,,,-×220,(10),10,,,-,6.,3.5,--,,10.2,,,228
229,A .- B. Arvika-Verken,,Perseruds,,140,450,3-fas,,50000/380,300,300,,5,29,,12,643,75,730,577 0002),,229
230,D:o,Arvika stad,Viks,ånga,-,90,21,,50000/380,500,233,3 550,-,2 570,7.5,2.5,3 320,40,3 370,,,230
231,Billeruds A .- B.,Arvika 1 .- f.,Jössefors övre,vatten,7,1 323,,503,000/7 000/380,500,233,3 550,,2 570,7.5,2.5,3 320,,3 370,6 840 0002),,231
232,D:o,,nedre,,"12-13
6","220
460",,503,000/7 000/380,,,,,,,,,40,,1 000 0002),,232
,,-,Sälboda,långa,,75,,,,,,,,,,,,,,,,
233,Arvika elektriska A .- B.,Arvika stad) o. 1 .- f. 1,"Abonnemang från kraft- stationerna nris 231, 232 och 229",,,,,,45000/380,2 500,2 000,-,23,1 745,18,-,1 223,675,1 916,(1 300 000)2),,233
234,Kärrmossens s:a elektri- ska ljusförening,Arvika 1 .- f.,Abonnemang från Bille- ruds A .- B.,,-,-,,,50000/380,150,150,-,1,10,-,4,-,-,4,1),,234
235,Koppsängs gård,,D:o,,,,,,50000/380,60,33,-,1,6.5,-,2,,,2,1,,235
236,Höfves o. Gilteruds elek- triska,,D:o,,-,-,,,50000/380,150,141,-,1,10,-,4,,-,4,1),,236
237,"förening
Sulviks elektriska andels-
förening",Elgå,D:o,,-,-,,,50000/380,275,152,--,1,35,22,10,11,-,43,1),,237
238,Elgå mellersta ljusföre,,D:o,,,-,,,50000/220,150,190,,2,20,10:3,5,,-,15.3,1),,238
239,"ning
Elgå södra ljusförening",,D:o,-,-,,,,50000/380,250,200,-,3,27.5,3.7,7,,--,10.7,1),,239
240,Billeruds A .- B.,Arvika 1 .- f.,Brättne kraftstation,vatten,12.5,176,,,45000/380,(50),(50),-,,762 5,7-4,-,553,00,570,1),,240
241,Wagge elektriska andels- förening,Ny,Wagge,,2,30,,,45000/380,(200),(200),25,6,50,23,18,-,-,41,1),,241
242,Norseruds egendom,,Norseruds,,2,12,likström,-k,220,(100),(100),-,-,,12,3,=,,15,1),,242
243,"Andelsföreningen Nordals
kraftverk",Arvika 1 .- f.,Nordals,,15,15,3-fas,,50000/380,150,100,15,3,20,4.4,7,,,11.4,,,243
244 245,"Lars Johansson Karlanda elektriska kraft
A .- B.",Karlanda,Kälkesruds Smolmarks elektricitets- verk,»,12 25,7 93,likström 3-fas,"--
50)","k 220
000/380",12 1 500,40 1 500,- 80,- 12,- 101,5 66.5,2 53,,,7 119.5,1) 1),,244 245
246,C. Nilsson,,Korsbyns kraftstation,vatten,3.4,36,,50,000/380,1 000,2 000,35,12,100,34,30,22,,86,,,246
247,Torpeddalens elektrici- tetsverk,Östervall- skog,Torpeddalens,,4-5,12,likström,,,1 000,220,-,,,,5,,,5,3,,247
248,Töcksmarks elektricitets- verk,Töcksmark,Töcksmarks,,24,55,3-fas,50,000/380,1 200,(200),55,-,-,8,30,-,-,38,1),,248
249,V. Fågelviks elektriska förening,V. Fågelvik,Lössbyns,,13,15,,50,000/380,(150),(150),10,3,30,-,7.5,-,-,7.5,1),,249
250,Fröken Olsson,Holmedal,Liane,»,3,45,likström,,-220,(50),(50),-,-,,-,2,-,,2,1),,250
251,Holmerudsfors A .- B.,,Holmerudsfors,,4.5,25,3-fas,50,000/380,300,545,150,6,30,-,6,,,6,,,251
252,Årjängs elektriska A .- B.,Silbodal,Arjängs kraftstation,,3,25,=,50,000 o. 2 000/380,(50),(50),,1,5,,14,,,24,1,Anm.,-- 252
253,Tvärdalens elektriska an- delsförening,,Abonnemang från kraft- stationen nr 252,,-,,,,50000/380,(50),(50),,1,5,,1-6,,,,15,\10,253
2,Lian elektr. ljusförening,,D:o,,,-,,,50000/380,(50),(50),,1,5,,2.4,-,-,2.4,1),,
,Högerud-Strands ljus-,,D:o,,,,,50,000/380,(50),(50),,1,5,-,2,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"förening
Fanskog o. Gerruds ljus- förening",,D:o,-,-,,,50,000/380,(50),(50),-,1,5,,2,-,,2,1),,
