1,2,,4 -,,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1
253,Sangbergsföreningen,Silbodal,Abonnemang från kraft- stationen nr 252,-,,,3-fas,50,000/380,(50),50,,1,20,15,1,-,-,16,1,,253
,Sjögårdarnas ljusförening,,D:o,,,,,50,000/380,(50),50,,1,5,,1'5,,,1.,1),,
254,Holmerudsfors A .- B. (Möl- neruds kvarn),,Mölneruds kraftstation,vatten,4,75,,,000/380,50,50,,,,,1.2,,,1.2,,,254
255,Aslanda elektriska före- ning,,Áslanda,,4,2,likström,-,0,60,(50),,-,-,1,1.6,,-,1.6,1),,255
256 257,Lennartsfors A .- B. Blomma elektriska före- ning,Trankil Blomskog,Lennartsfors bruk Blomma kraftstation,,00 .00,207 25,3-fas,50 50,0 000/380,750 60,- (50),,- 1,3,,06,249 -,25 -,274,123 000 ?) 1) 5,,256 257
258,Sundsbyns kraft A .- B.,,Sundsbyns,,7,50,=,50,000/380,800,500,40,8,54,18.4,12,,-,30-4,1),,258
259,Åsebyfors elektriska verk,Sillerud,Åsebyfors,,4,20,,50,0,(50,(50),-,,-,9,4,,-,13,1,,259
260,Sanda elektriska förening,,Sanda,,2,7.5,likström,--,k 220,100,(100),,,,3,36,,,66,1,,260
26,A .- B. Gränsfallets kraft- station,,Gränsfallets,,24,15,3-fas,50,000/380,700,1 170,40,10,30,-,36,-,,3.6,1,,261
262,D. Nordin,,Karlsfors såg,,10,40,,50,000/380,(50),(50,,,,-,,-,,1.2,1) 5,,262
263,Svaneholms A .- B.,Svanskog,Svaneholms kraftstation,,14,25,likström,-,0,140,40,,,,13.8,,10.3,10.4,36,1,,263
264,Esbjörbyns elektriska förening,Långserud,Esbjörbyns,,-,3.5,,,k 220,(150),160,,-,,,6,,,6,1),,264
265,Svaneholms A .- B.,,Skillingsfors,,-,22,,-,K220,220,183,-,-,,-,7.4,,7-0,23.2,1),,265
266,Viksfors A .- B.,,Viksfors,,7,11,,,0,,,,,,--,-,,,-,,,266
267,Bröderna Pettersson,,Kyrkebols,,6-8,8,,,0,(35),35,,,,4.8,2.5,,,7.3,,,267
268 269,Kolsäters kraft A .- B. D:o,2,Torps Kolsäters,,7.5,250 20,3-fas likström,50,00/220,100,100,15,1,15,-,3.3,206,11.7,221,,,268 269
270,Stenbyns elektriska an- delsförening,»,Elovsbyns kvarn Blixbols kraftstation,,3 96,5 1 200,3-fas,50 50,k220 000/6 000,90,50,-,,-,-,3,,-,3,1),,270
271a,Kolsäters kraft A .- B.,Gillberga,Abon. från Trollhätte kraftverk,-,-,-,,50,000/20 000,,-,-,,,,-,-,-,-,-,,271a
271b,D:o,,Sågbacka,vatten,5,250,,50,000,-,-,,-,,,-,-,-,,-,,271b
272,Glava glasbruks A .- B.,Glava,Glava glasbruk,,,,,,-,,,,,,-,,,,,,Anm.,272
273,Billeruds A .- B.,,Knappstadsflagans kraft- station,,29,1 030,3-fas,50,000/6 000,,,1 150,,,-,,,-,,3 035 0002),1 11,273
274,D:o,,Brandströmmens kraft- station,,14:3,950,,50,000/6 000,,-,950,1,(500),26,-,441,-,467,2 404 0009),,274
275,D:o,,Fors kraftstation,,14.5,900,,50,000/6 000/380,-,,-,,,--,,-,-,-,-,,275
276,D:o,,Hillringsbergs,,6-8,500,,50,000/6 000,,,,-,,,,,,,,,276
277,D:o (Stömne sulfat- fabrik),Stavnäs,Kraftleverans från nris 273-277,,,,,50,000/400,-,,,400,,,-,,-,,,,277
278,Stavnäs elektriska andels- förening,,Abonnemang från Bille- ruds A .- B. (Kraftstatio- nerna nris 273-276,-,,,,50,000/6 000/380,(1 500),(1 500),100,16,130,-,--,-,-,-,-,,* 278
279 280,"Värml. Nysäters elektriska, andelsförening Billeruds A .- B. (Billeruds
sulfitfabr.)","By
Gillberga",D:o Kraftleverans från kraft- stationerna nris 273- 276.,-,--,- -,08,"50
50","000/6 000/380
000/380",(500) (50),500 -,50 470,9 -,85 --,101,19,- -,- -,"120
-",50 000,,279 280
281,Gunnarsbol elektriska distributionsförening,,Abonnemang från Troll- hätte kraftverk,-,,-,,50,000/3 000/380,,619,-,3,60,72,20,-,-,92,22 000,,281
282,Tveta elektriska distribu-,Tveta,D:o,-,-,-,,50,000/3 000/380,-,1 700,-,10,,75,38,-,,113,56 000,,282
283,tionsförening Kila elektriska distribu- tionsförening,Kila,D:o,-,,,,50,000/3 000/380,,623,-,5,70,37,16,-,-,53,23 000,,283
