1,2,,4,5,6,7,8,9,10,,11,12,13,14,15,16,17,18,19,20,21,22,1
284 285,"Huggenäs elektriska di-
stributionsförening Bro elektriska distribu-
tionsförening","Huggenäs
Bro",Abonnemang från Troll- hätte kraftverk D:o,-,- -,- -,3-fas,50,000/3 000/380 000/3 000/380,,- 1,1 002 1 804,- -,4 19,90 300,82 231,18 50,-,-,100 281,24 000 95 000,,284 285
286,S:a Ny elektriska distri- butionsförening,S:a Ny,D:o,-,,-,,50,000/3 000/380,,-,956,-,7,94,127,20,,-,147,39 000,,286
287,"By elektriska distribu-
tionsförening",By,D:o,-,-,-,,50,000/3 000/380,,-,1 433,,12,250,222,27,,-,249,67 000,,287
288,Botilsäter elektriska di- stributionsförening,Botilsäter,D:o,-,-,-,,50,000/3 000/380,,-,1 828,-,9,190,154,30,,-,184,114 000,,288
289,"Ölserud-Millesvik elektri-
ska distribut .- förening",Ölserud,D:o,-,-,,,50,,000/3 000/380,-,1 181,-,6,130,118,20,-,-,138,43 000,,289
290,"Eskilsäter elektriska di-
stributionsförening",Eskilsäter,D:o,--,,-,,50,000/3 000/380,,-,596,-,4,67,41,12,--,-,53,24 000,,290
291 292,"Hultkrantz, Björnö Malsjö elektriska andels- förening",Gillberga Grums,Sandåsens kraftstation Malsjö kvarn,vatten,16.5 4,35 8,likström,50,00/380 220,,350 460,750 175,35,7 -,65,45-6 -,15 11,,,606 11,,,291 292
293 294,Mindre kraftanläggning Billeruds A .- B.,Borgvik,Uppgifter saknas Borgviks bruk,vatten,11,- 500,- 3-fas,- 50,"andst doo
000/380",,300,- 100,-,-,1130,- 18.5,3,- 22.5,15,59,- (2 136 000) 2),JAnm.,293 294
295,D:o,Ed,Kyrkbyns sulfitfabrik,ånga,,250,,50,000/380,,200,150,325,3,30,9,3,258,10,280,1),1 12,"295
-"
296,Segerstad och Nor elek- triska andelsförening,Segerstad,Abonnemang från Blix- bols kraftstation (nr271),-,-,-,,50,,000/10 000/380,1 100,1 500,400,15,210,193,80,-,-,273,1),,296
297,Vålbergs Fabriks A .- B.,,Vålbergs Fabriker,ånga,-,72,likström,,,o. 220,(50),(50),-,,,,-,,,,-,,297
298,Kapten H. V. Axelson,Bro,Mässviks kraftstation,vatten,8,37,=,,,,175,250,,-,-,20,8,,,28,1),,298
299,Knut Larsson,,Låbyfors elektricitetsverk,,10,50,3-fas,50,,00/380,1 194,400,-,11,71,20.6,32,,,52.6,,,299
300,J. O. Bergström,V. Emtervik,Aplungs kvarn,,6,50,=,50,,,775,700,,,,,,,,,,,300
301,D:o,2,Sillegårdens kraftstation,,6,60,,50,00/380,,(100),(100),-,6,60,-,28,11,,39,,,301
302,N. A. och J. Johanson,»,kvarn,,10,3,likström,,,,20,35,-,-,,,3,-,,3,1),,302
303,Hensgårds elektriska an- delsförening,,Hensgårds kraftstation,,18,20,3-fas,50,00/380,,300,300,20,1,9,22,15,5,,42,1),,303
304,Norskt företag (Lie),Bogen,Mitandersfors,,8,6,likström,,,,,,-,,,,1.,,,1's,1),,304
,Brunskogs el. and .- fören.,Brunskog,Reinholdsfors,,,150,3-fas,50,000/380,,,,,,,,-,,-,-,-,,305
306,Värmskogs el. and .- fören.,Värmskog,Värmskogs kraftstation,»,,40,,50,00/380,,-,-,-,,-,-,,,,,,,306
307,Glava el. distr .- fören.,Glava och Stavnäs,Abon. från Billeruds A .- B.,-,,-,,50,00/380,,,,,,,,,,,,,,307
308,E. Eriksson m. fl.,Karlanda,Mölnerud,vatten,,10,,50,,,--,-,,,,-,,,,-,-,,308
309 310.,"E. Rune och R. Aronson Trollhätte kraftverk, se- kundärstation vid Säffle",V. Fågelvik Säffle,Durserud,-,,2.5 -,likström 3-fas,50,000/20 000/3000,,-,,,-,,,,,,,,,309 310
311 312,Uddeholms A .- B. D:o,Nordmark,Konstfallet Finnboström,vatten,2.5 3'3,33 48,likström,,,,1 300,-,-,-,-,-,-,,,-,276 500,,311 312
313,Fernebo kommun,Fernebo,Fogdhyttan,,3,8,,,,,90,100,,,,,8,,,8,-,,313
314,Ingenjör Rundberg,,Stockforsen,,2.3,16,,,,,10,10,,,,,824,,,2,,,314
315,C. Danielsson,,Stöpjöhyttan,,4,16,,,,,30,60,,-,,,,-,,14,-,,315
316,Hellefors Bruks A .- B.,»,Saxåhyttan,,10,10,,,,,80,200,-,-,,9,4,,,,-,,316
317,Billeruds A .- B.,,Torskebäcken,,,10,,,,,40,50,,,,10,"2
422||",,,,,,317
318,Örlingsbyns el. fören.,Gåsborn,Abon. från Hellefors A .- B.,-,,,3-fas,50 DU,00/190,,60,120,,1,5,,2,,,2,,,318
319,Se nr 116 i Örebro län,,,,,-,,,,,-,,,-,-,,,,,,-,,319
320,P. Persson och A. Lorell,Nysund,Håkanbol,vatten,,20,,50,,0/380 o. 220,,,-,-,,,,,,,,,320
,,,,,,,,,,,,,,,,,,,,,,,
