Driv- kraft,Utb. fallhöjd,Install. genera- toreffekt,Ström- art,Period- ta,Spänningssystem,Antal orts- stationer,Längd av hög- spän- nings- ledningar,Nr
,i m,i kVA,,,volt,st.,km,
5,6,7,8,9,10,11,12,1
V.,8.5,80,3-fas,50,10000/380,20,70,1
,,100,,50,10000/380,25,80,2
,7.0,60,,50,10000/380,10,30,3
,,,L.,-,,,-,4
-,11.0 -,120 -,3-fas,50,10000/20000/380,15,50,5
v.,3.5,60,,50,10000/380,10,30,6
,19.0,8 200,,50,"30000, 20000 och 10000",-,-,7
,,,,50,10000/220,2,15,8
,,,,50,2000/220,2,5,9
v.,"10
10-0",160,,50,20000/380,31,85,10
,5.0,85,,50,5000/220,10,10,11
,-,,,50,30000/3000/220,-,,12
-,-,,,50,30000/3000/220,3,8,13
,,,,50,30000/3000/220,8,10,14
,-,,,50,30000/3000/220,5,6,15
-,-,-,,50,130000/3000/220 och 110000/220,3 13,4 16,1 16
-,-,,,50,30000/10000/500/220,16,68,17 a
,,150,,50,10000/500,-,--,17b
,-,,,50,30000/3000/220,10,10,18
,,,,50,30000/380,-,-,19
,,,,50,30000/6000/220,9,10,20
V.,- 7,100,,50,30000/6000,-,-,21 a
-,,,,50,30000/6000/380,7,8,21b
V.,,100,,50,10000/220,14,20,22
,3-0,40,»,50,10000/380,9,24,23
,3.0,20,,50,10000/380,1,4,24
,-,,L,-,,,,25
,,,2,,120,,,26
,,,,,220,1,-,27
,8'5,70,3-fas,50,10000/220,21,32,28
-,7.0 -,75,-,50,20000/10000/380,20,55,29
V.,2.5,15,,50,10000/380,4,12,30
,3.0,40,,50,10000/380,8,20,31a
,,164,=,50,10000/380,10,38,31b
,2.5,40,,50,10000/380,4,12,32
