1,2,,4,,5,,7,8,9,10,11,,
,,,,,,,,,,,,12,13
,,,,,,,,,,,,,
78,Tväråbäck-Orrböle El. Fören.,Vännäs,Orrböle,,V,11.0,28,3-fas,50,3000/380,10,22,78
79,Jämteböle Bel .- Fören ..,,Jämteböle,,,,10,,50,5000/220,1,2,79
80,Bjurfors Såg och Kvarn Bol.,Degerfors,Bjurfors,,,,40,,50,10000/500 och 380,8,28,80
81,Vindelns Såg- och Vattenkraft A .- B.,,Renfors,,,,60,»,50,3000/380,6,7,81
82,Hällnäs El. Kraft A .- B. 18,,Ledeåfors,,,100,80,,50,13000/380,11,26,82
83,"Otto Holmberg, Stenträsk",,Stenträsk,,,,32,,50,3000/380,4,17,83
84,Mindre anläggning,,Anassjön,,,,-,,,,,,84
85,,,Bolsmark,,,,,,,,,,85
86,,,Åträsk,,,,,,,,,,86
87,,,Storsandsjö,,„,,,,,,,,87
88,Åmsele El .- Fören.,,Amsele,,,,,,-,,,,88
89,Välvsjöns Bel .- Fören.,Burträsk,Välvsjön,,,,,,,220,,,89
90,Strandholms Bel .- Fören.,,Strandholm,,,,,,,230,,,90
91,Villvattnets El. Fören.,,Villvattnet,,,,,»,,,,,91
92,Mindre anläggning,,Kalvträsk,,,,-,,,,-,,92
93,,Norsjö,Risliden,,,,,,,,,-,93
94,Ruskträsk El. Fören. 15),Lycksele,Malåträsk,,,6,60,3-fas,50,3000/220,3,8,94
95,Mindre anläggning,,Forsholm,,,-,,L.,-,,-,-,95
96,Malaträsk El. Fören.,Malå,Malåträsk,,,6,60,3-fas,50,10000/380,2,8,96
97,Mindre anläggning,Sorsele,Tväråträsk,,,-,,L.,-,,-,-,97
98,Gargnäs El. Kraft Fören.,,Staggbäcken.,,,--,25,3-fas,50,3000/380,4,6,98
99,Kvarnbäckens El. Kraft A .- B.,Lycksele,Tannfors,,,10,32,,50,3000/380,3,6,99
100,Holmsunds A .- B.,2,Hellforsen,,,6,270,,50,3000/190,4,7,100
101,Rusele El. Kraft A .- B.,,Toskbäcken,,,5,25,,50,3000/220,2,5,101
102,Gunnarns El. Kraft A .- B.,Stensele,Gunnarbäcken,,,7.5,10,,50,10000/380,2,5,102
103,Skarvsjö El. Fören. 17),,Skarvsjön,,,-,,,50,10000/380,5,17,103
104a,,,Hörnefors,,å.,,345),,50,40000/6000/380,-,-,104a
,Mo och Domsjö A .- B,Umeå l:f,Kraftlev. fr. Gideåbacka,,,-,-,,,,,,
104b,Distribut. från Hamnskär9),Umeå l:f. o. Nord- maling,Ab. från Gideå o. Husums A .- B.,,,,,,50,40000/6000/380,8,18,104b
105,Mindre anläggning,Umeå landsf.,Häggnäs,,V.,-,-,L,,,,,105
106,,2,Sörmjöle,,,,,,,,:unselected:,,106
107,Långeds El. A .- B ..,Nordmaling,Långed,,,,80,3-fas,50,10000/380,13,,107
108 T,Gräsmyrs El. Bel .- Fören.,,Gräsmyr,,,,40,,50,10000/220,3,47,108
109,Hörnsjö Bel. A .- B.,,Hörnsjö,,,-,20,,50,3000/220,5,,109
110,Mindre anläggning,Vännäs,Pengsjö,,,-,-,L.,-,,-,-,110
111,Strömshills Kraftintressenter,Nordmaling,Nyåker,,,,15,3-fas,50,3000/380,,2,111
112,Brattsbacka El. Fören.,,Brattsbacka,,,-,25,,50,3000/380,3,5,112
113,Bjurholms El. A .- B,Bjurholm,Bjurholm,,,32,80,,50,10000/220,8,15,113
114,Lillarmsjö El. Fören.,,Lillarmsjö,,,,,L.,-,220,,,114
115,Mindre kraftanläggning,,Bastuträsk,,,-,,,-,,:unselected:,,115
116,Ottervattsbäckens Kraft A .- B.,,Ottervattsbäcken,,,16,40,3-fas,50,6000/380,5,13,116
117,Örträsks Bel .- Fören ..,Örträsk,Örträsk,,,7,16,,50,10000/220,4,12,117
118,Vänjaurträsk-Lamfors El. Fören.,Örträsk o. Lycksele,Lamfors,,,-,60,,50,6000/380,2,10,118
119,Knaftens El. Fören.,Lycksele,Mellanfors,,,15,32,,50,3000/380,2,5,119
120,Mindre anläggning,,Granträsk,,,,-,L.,-,,-,,120
121,Brattens El. Fören.,,Brattfors,,,7.5,32,3-fas,50,3000/380,3,15,121
122,,,Leduåfors,,,-,40,,,,,,
,Olofsfors Bruk,Nordmaling,Olofsfors,,,,50,,50,6000/380,7,14,2
123,Mindre anläggning,=,Ledusjo,,»,,-,,,,-,,122
124,,,Sunnansjö,,,,,,,,,,124
125,,,Stafsjöholm ..,,,,,,-,,,,125
126,Lögdeå El. A .- B.,,Åbacka,,,4,50,3-fas,50,6000/220,7,15,126
