1,2,,4
127,Bröderna Hellmans Kraftanläggning,Nordmaling,Norrfors
128,Mindre anläggning,,Sjönäset ..
129,,,Karlsback
130,,,Bjärten
131,"Fredrika Såg-, Kvarn- och Bel .- Fören.",Fredrika,Fredrika
132,Nordenås El. Fören.,,Alskabäcken
133,Hallaströms Kraft A .- B.,,Hülla Sågfors
134,Mindre anläggning,,Björksele
135,Åsele Kraft A .- B,Åsele,Hammarån
186,Mindre anläggning,,Lomsjö
137,,,Avasjö
138,Torvsjö El. Fören.,,Torvsjö
139,Dorotea El. A .- B.,Dorotea,Bergvattenforsen ...
140,Vilhelmina El. Kraft A .- B.,Vilhelmina,Vilhelmina
141,Skivsjö El. Byggn .- Fören.,Degerfors,Skivsjö
142,Mindre anläggning,,Ekorrträsk
143,Ortsdistr. i Lövånger,Lövånger,Ab. fr. Skellefteå stads El .- verk
144,Höksmarks El. Fören.,,Bissjö
145,Mo och Domsjö A .- B.,Umeå l:f,Kraftlev. fr. Gideåbacka | Norrbyskär
146,Sorsele El. A .- B.,Sorsele,Sorsele
147,Bockträsk El. Fören.,,Bockträsk
148,E. Ronnlund,Vilhelmina,Lövliden
149,Vilhelmina Östra Kraftverks Fören.,,Holmsjön
15,Alfr. Tjärnström,Norsjö,Norsjö kvarn
151,A. Hellman,Nordmaling,Nordsjö
152,E. Persson m. fl.,Umeå 1:f,Norrfors.
153,Källbomarks El. Fören.,Byske,Källbomark
154,Aby El. Fören.,,Abyn
155,Storbränna El. Fören.,Burträsk,Storbränna
156,A .- B. Ytterstfors-Munksund,Byske,Brännfors såg
157,Sandviks Ångsågs A .- B.,Umeå l:f,Sandviks såg
158,Mindre anläggning,Bygdeå,Åkullsjö
159,A. Berglund,Bjurholm,Agnäs
