5,6,7,8,9,10,11,12,13
V,4.5,75,3-fas,50,10000/380,9,30,127
,,-,L,-,,,,128
,,,,-,,,,129
,,-,,,,,,130
,5,28,3-fas,50,6000/380,4,6,131
,-,25,,50,3000/380,2,6,13
,12,125,,50,5000/220,6,16,132
,,-,L.,-,,,-,134
,12,125,3-fas,50,5000/220,6,10,135
,-,-,L.,,,-,,136
,,,,-,,,,137
,,,2,,,,-,138
,4.5,100,3-fas,50,10000/380,9,34,139
,,300,,50,3000/220,-,,140
,,-,L,-,,-,,141
,,,,-,,,,142
-,,,3-fas,50,10000/3000/380,-,-,143
V.,,,,50,3000/380,,-,144
-,,-,,50,"(40000/5000/1000/220
loch 5000/380",,,145
å.,-,360,/ L. \1-fas,- 50,330 1000,,,
v.,-,30,3-fas,50,6000/380,-,-,146
,,15,,50,3000/220,,,147
,,25,L.,-,2× 220,,,148
,,18,3-fas,50,10000/220,,,149
,,15,L.,-,110,,,150
,-,8,,,2× 220,,,151
,,-,,,220,,,152
»,,,-,,,,,153
»,,,,,,,,154
»,-,,,,,,,155
å,,200,-,,,,,156
,,700,,,,,,157
V.,,-,,,,,,158
,-,,,,,,,159
