Nr å karta,Distri- bue- rings- om- råde,Företagets namn resp. ägare,Kommun,Kraftstationens namn,Driv kraf,Ut- byggd fallhöjd,Gene- rator- effekt,Strömart,Pe- riod- tal,Spänningssystem,Företaget till- höriga ned- transforma- torer,,Anmärkningar,Nr å karta
,,,,,,m,kVA,,,,Antal,S:a kVA,,
1,2,,4,15,G,7,8,9,10,11,12,13,14,1
1,1,Tåsjö Elektriska Kraftförening,Tåsjö,Abon. fr. A .- B. Kvarnforsverken,-,-,-,Trefas,50,20000/380,17,c:a 255,"| Dessutom en mottagningstrans- ) form.100k VA, 12000/20000 volt.",1
2,2,Hotings Elektriska A .- B.,,,-,-,-,,50,12000/380,4,60,,2
3,3,A .- B. Kvarnforsverken,Bodum,"Kvarnforsen, 2 stationer",v,4.5,240,,50,"12000, 6000/220",6,94,,3
4,4,Backe Elektriska A .- B.,Fjällsjö,Abon. fr. A .- B. Kvarnforsverken.,,,,,50,12000/220,6,» 62,,4
5,6,Junsele Elektriska A .- B.,Junsele,Eden,4,13,150,,50,5000/220,9,200,,
6,6,"J. R. Wallenrot, Junselevallen",,Junselevallen,v,5.9,16,Likström,,2 × 220,,,,6
7,6,"F. A. Hallin, Gulsele",,Gulsele,v,,- 10,,,220 220,-,-,Närmare uppgifter saknas.,8
8,6,"Otto Selin, Tara",,Tara,v,16,75,Trefas,50,10000/190,7,c:a 90,,
9,8,A .- B. Ramsele Elektricitetsverk,Ramsele,Nässjö,v,3'4,20,,50,1000/110,,11,,10
10,8,Lungnå Kraftstations A -B.,=,Lungsjöbacken,v,,,,,,,,,
11,8,Sehls Elektricitetsverksförening,,Valasjöån,V,17,40,2,50,6000/220,3,25,,11
12,9,Edsele Elektricitetsförening,Edsele,Edslån,,44,100,2,50,10000/220,12,150,,12
13,9,Ramneå Elektricitetsförening,,Ramneå . .,,c:a 3,5,Likström,--,110,,-,Närmare uppgifter saknas.,13
14,9,Kramfors A .- B. jämte distribution från Edsele kraftstation,,Edsele kraftstation,V,19,10 000,Trefas,50,"/ 60000, 40000/500 1 10000/380 & 220 /",,C:a 55,,14
15,10,Kungl. Vattenfallsstyrelsen,Ådalsliden,Holaforsen,v,10-12,200,,50,10000/220,-,,,15
16,10,Rå Elektriska Förening,,Vigda,V,17,15,,50,6000/220,3,c:a 15,,16
17,26,Bodvillsåns Elektriska A .- B,Resele,Selsjön,v,19,20,Likström,-,2 × 220,,,,17
18,10,Ådalslidens och Resele Elektr. A .- B.,(Resele och | \Adalsliden,Abon. fr. Holaforsen,,,-,Trefas,50,10000/220,29,340,,18
19,14,Ortsdistr. i Mellansel,Anundsjö,Abon. från Gottne-Yttersels El. A .- B.,-,-,-,,50,"10000/220, 190",7,108.5,,19
20,14,Bredby Elektriska A .- B.,,Näsforsen,,7,100,"/ Likström
Enfas",31.3,"2 × 220
5000/220",8,75,,20
21,14,"Ödsby och,Tvärlandsböle byamän",,Ödsby,V,3,,Likström,-,2 × 220,,-,,21
22,11,Myckelgensjö Elektriska A .- B,,Myckelgensjö,v,4 3,25 35,Trefas,50 50,10000/220 6000/220,7,50 60,,22 23
23,12,Norrflärke-Vattugårdens byamän,,Norrflärke,V,3,18,Likström,-,2 × 220,,-,,
24,14,Sörflärke byamän,,Sörflärke,V,9,50,Trefas,50,6000/220,6,58,,
25,12,Abosjö Elektriska A .- B.,,abosjö . .,v,,,,,,,,,
26,14,Skalmsjö byamän,,Skalmsjö,v,3,9.5,Likström,-,2 × 220,,-,,26
27,12,Risbäck och Hemsjö Elektriska För- ening,,Risbäck,,77,6.6,,,220,,,,27
28,12,Hädanbergs Elektriska A .- B.,,Hädanberg,"v
v",,25,Trefas,50,3000/220,3,25,,28
29,12,Fälltjäl och Nordsjö Elektriska För- ening,,Fälltjäl,,,7.,Likström,,2 × 220,,,,29
30,22,Lännäs byamän,Skorped,Lännäs,"V
v",5.5,32,Trefas,50,6000/220,10,100,,30
31,22,Skorpeds Snickerifabriks A .- B.,,Skorped,A,5,2,Likström,,220,,-,Enbart för fabrikens behov.,31
32,22,Mosjő,,Mosjö. Under byggnad,V,,-,,-,2 × 220,-,-,Närmare uppgifter saknas.,32
33,15,"John Meijerhöffer, Björna",Björna,Ledings kraftstation,V,7,80,Trefas,50,10000/220,3,20,Därav en transformat. Gideå by.,83
,25,Djupsjö,Skorped,Djupsjö,v,4.5,,Likström,-,2 × 220,-,,Närmare uppgifter saknas.,34
35,15,Björna Elektriska Förening,Björna,"Abon. fr. Meijerhöffer, Björna",,-,-,Trefas,50,10000/220,1,10,,35
