1,2,,4,5,6,7,8,9,10,11,19,13,14,1
36,15,Joh. Vallin m. fl.,Björna,Hemlings kraftstation,V,7,40,Trefas,50,220,-,-,,36
37,12,Erik Johansson,,Uttersjö,v,i,4,Likström,-,220,,,Närmare uppgifter saknas.,37
38,15,Björnsjöns Elektriska Förening,,Björnsjö,v,8,11.5,»,,2 × 220,,,2 »),38
39,13,Locksta Elektriska Förening,,Locksta ..,v,3,10,,,2 × 220,,-,,39
40,13,Studsvikens och Nordanås byamän,,Studsviken,V,2.5,7,,,220,,-,,40
41,13,Remmaren och Östansjö Elektriska Förening samt Aspsele byamän ...,Björna o.,Remmaren,v,6,50,Trefas,50,10000/380,3,45,,41
42,15,Gammelbyns Kraft A .- B.,"Arnäs Trehörning- 1 sjö, Gideå",Hemling,v,5.2,200,,50,20000/380,32,405,,42
43,15,Getingstabodums Elektriska Förening,Gideå,Getingstabodum,V,29.5,20,Likström,-,2 × 220,-,,,43
44,16,Salbergs Elektriska Förening,,Salberg .,v,4,4,,,220,,,,14
45all,17,,,/Norrgidsjo,,-,16,,,2 × 220,,,,45a
45b,,Norrgidsjö bys Elektriska Förening,,Abon. fr. Gideå-Husums A .- B.,,,-,Trefas,50,2000/380 1,-,-,,45b
46,15,Byvikens Elektriska Förening,,Byviken,V,1.5,10,Likström,,220,-,,,46
47,15,Bölens Elektriska Förening,,Bölen,v,8,6,,,220,,,,47
,,,,Gideå bruks kraftstation,v,12,12 100,-,,,,,,
48,17,Gideå och Husums A .- B.,,Samarbete med Gideåbacka kraft- station i Grundsunda,,,-,Trefas,50,2000/380 1 40000/500,5,c:a 60,För landsbygdsdistribution. 1 » industriell drift.,4 48
49,16,Källfors Kraftstationsförening,,Källfors,v,3,6.5,Likström,,2 × 220,-,-,Närmare uppgifter saknas.,49
50,15,Bröderna Edlund,,Flärke,V,7.5,30,Trefas,50,3000/380,3,20,,50
51,15,"Joh. Gidlöf, Getingsta",,Getingsta,v,50,10,Likström,,2 × 220,,-,,51
52,25,Å Kvarn och Kraft A .- B.,Sidensjö,Kyrkbolströmmen,v,6,18 80,Trefas,50,2 × 220 12000/220,,-,"(Delvis under byggnad, små- industri.",52
53,25,Drömme byamän,,Drömme,V,8'5,3,Likström,-,2 × 220,,,Närmare uppgifter saknas.,53
54,25,Källoms byamän,,Källom,v,3,1.5,2,,2 × 220,,,,54
55,25,A. Berglund,,Myre,v,5,9,,-,2 × 220,,,= 2,55
561,24,,Sidensjö,Nyfors,V,6,500,,50,12000/220,50,466,,/ 56
57/,,A .- B. Bjästa Elektricitetsverk,Nätra,Bjästa,V,5,50,Trefas,,,,,,1 57
58,15,Trehörningsjö Elektriska Förening.,Trehörn .- sjö,Trehörningsjö,v,3,5,Likström,,220,-,-,,58
59,15,El. A .- B. Djuptjärn-Kantsjö,,Djuptjärn,v,19,25,,,2 × 220,-,-,,59
60,15,Ålidens Elektriska Förening,,Aliden,V,6,10,,-,220,,-,,60
61,15,Lemelsjö Kraftstationsförening,,Lemelsjö,,7,16,,-,2 × 220,-,,,61
62,15,Nordsjö Elektriska Förening,,Nordsjö,,7,13,,,220,,,,62
63,15,N. V. Lundqvist,,Trehörningsjö,V,4.5,30,,,2 × 220,,,,63
64,15,Se nr 127 i Västerbottens län,,,,-,-,Trefas,50,10000/220,1,20,,64
65,18,Gideå och Husums A .- B.,Grundsunda,Gideåbacka,v,32,9 000,=,50,40000/500 6000/380,33,c:a 40,"Industriell drift.
Landsbygdsdistribution.",65
66,18,Kasa Kraftledningsförening,,Abon. fr. Gideå-Husums A .- B.,,,-,,50,6000/220,3,40,,66
67,20,Banafjäls Kraftstationsförening,,» » Gammelbyns Kraft A .- B,,,-,,50,10000/220,5,45,,67
68,16,Nylands kraftstation,>»,Nyland ..,V,10,10,Likström,-,2 × 220,-,-,Närmare uppgifter saknas.,68
69,16,Skademarks Elektr. Förening,,Skademark,v,8,30,,-,2 × 220,,,,69
70,16,Godmarks Elektr. Kraftförening,,Godmark,v,4,100,Trefas,50,3000/380,13,120,,70
71,18,Mo och Domsjö A .- B.,,Husums sulfatfabrik Kraftlev. från Gideåbacka,-,,1 250 1 -1,2,50,6000/500 och 110,-,-,Industriell drift.,71
721 73,23,Gottne-Yttersels Elektriska A .- B. ...,Mo Själevad 1 Arnas,"Gottne, 2 stationer",V,6,100 1 900 1,,50,10000/220,31,465,,72 1 78
74,21,Brunnsnylandsortens Kraftst .- fören.,Arnas,Abon. fr. Gottne-Yttersels El. A .- B,-,-,,,50,10000/3000/220,5,C:a 50,,74
75,23,A. Elfving & A. Strandberg,,Må.,,2.5,7,Likström,,2 × 220,,-,Närmare uppgifter saknas.,75
