1,,3,4,5,6,7,,9,10,11,12,13,14,1
116,41,"Långsele Belysn. A .- B., Nordsjö, Lång- sele",Långsele,Abon. fr. Helgums Kraft A .- B.,-,,-,Trefas,50,10000/220,4,50,,116
117,41,"Åberget-Bäckaskogs Belysn .- fören., Österforssa .",,,-,-,-,,50,10000/220,3,30,,117
118,42,"Östergraninge Belysningsförening, Ostergraninge",Graninge,Östergraninge,V,7,75,,50,6000/190,3,30,,118
119,41,"Mellangraninge El. Distr .- förening, Wik",,Abon. fr. Helgums Kraft A .- B.,,,-,,50,10000/220,,60,,119
120,41,Ledinge El. Distr .- förening,,,,,,,50,10000/220,,40,,120
121,41,Graningeverkens A .- B.,,Graninge bruk,v,6,18,Likström,,220,-,,,121
1:,41,Helgums Kraft A .- B.,Helgum,Abon. fr. Graningeverkens A .- B.,-,-,,Trefas,50,10000/220,13,370,,122
123,41,A .- B. Ledingå-Helgums Kraftstation,,Gransjö,V,7,100,,50,10000/220,12,100,,123
124,29,Lökoms Kraft A .- B.,Överlännäs,Lökom,V,23,40,,50,10000/380,6,47,,124
125,30,Björkå A .- B.,Boteå,Högfors,v,82,1 700,,50,40000/3000/220,,-,Enbart för industridrift.,125
126,30,,,Offer gamla station,,6,115,,50,3000/220,19,200,,126
127,30,,,nya,,6,250,,50,3000/220,,,Enbart för industridrift.,127
128,31,Styrnäs Elektriska A .- B.,Styrnäs,Lo kraftstation,v,7.5,85,,50,10000/380 och 220,17,161,,128
129,39,Götrik Nolander i Ed,Ytterlännäs,Ec,V d,16 - 9,"70
125 34",,50 50,10000/220 3000/220,"14
-",131,,129
130 131,43,Stensätters Kvarn och Elektr. A .- B.,,"Stensätter, 2 stationer",v,18,200,,50,"J 10000/220, 380
3000/220",14,75,"JDen större stationen under
byggnad.","130
131"
132,43,Västansjö Elektr. Distr .- förening,,Abon. från Forseds Andelsförening,,-,-,Likström,,2 ×220,-,,,132
133,43,Sjöbottens Elektr. Distr .- förening,,,,-,,,,"2×220
XXXX",,-,Närmare uppgifter saknas.,133
1: 34,43,Forseds Elektr. Andelsförening,,Forsed,V,14,18,,,2×220,,,,134
135,43,Västertorps Elektr. Förening,,Västertorp,A,6,10,,,2 × 220,,,,13
136,47,Ångermanälvens Flottn .- förening,,Box,å,-,250,Trefas,50,2000/500/190,-,,Industriell drift huvudsakl.,136
137,47,Nylands Elektr. A .- B.,=,Abon. från Angermanälvens Flott- ningsförening.,,-,-,,50,2000/190,-,-,,137
138,,A .- B. Nylands Ångsåg,,D:o d:o,-,,,,50,2000/220,1,75,Industriell drift i huvudsak.,138
139,,Rosso Sågverks A .- B.,»,Rosso,å,,25,,50,2000,-,-,Industriell drift.,139
140,,Bollsta Sågverk,,Abon. från Graningeverkens A .- B.,-,-,,2,50,40000/500,1,800,Enbart industriell drift.,140
141,,Dynäs A .- B.,,Vaija sulfatfabrik,å,-,- 1 215,,50,40000/500,2,1 600,"Enbart industriell drift, därav en mindre del i Gudmundrå sin.",1 141
142,,Hammars Mek. Verkstad,,,å,obetydlig,,Likström,-,220,-,-,Industri.,142
143 1.,49 49,Hernösands stads Elektricitetsverk .,"Säbrå
Hernösand",Gådeå Elektr. verk. å Kronholmen,V d,10 - -,150 620 265,,-,2×220,-,-,-- |För stadens och Hernöns be- hov ävensom en mindre del av Säbrå socken.,1 143 - 144
145,52,Ulvvik och Svedje Elektr.Bel .- förening,Säbrå,Ulvvik,v,12.5,50,Trefas,50,3000/220,7,75,,145
146,53,Långsjöbygdens Belysningsförening.,,Brån,V,8.5,16,Likström,,2×220,-,,,146
147,49,Şäbrå-Härnö Elektr. And .- förening.,,Abon. från Hernösands stad,-,,-,,-,2×220,"-
:unselected:",-,,147
148,52,Öfverdals Kraft- och Bel .- förening ..,,Ofverdal,v,17,20,Trefas,50,6000/220,3,30,,148
149,52,Västersjölands Elektr. förening,,Själand,v,5,12,Likström,,220,-,--,,149
150,52,Bråns Elektr. förening,,Brån,v,13,32,,,2×220,,,,150
151,52,Älands och Norrstigs Elektr. förening,,Äland,V,3,7,,,220,,,,151
152,52,Ramsås Elektr. förening,,Ramsås,V,6,10,,,220,,,,152
153,52,Kragom och Näslands Bel. förening,,Kragom,v,5.7,10,,-,2×220,,,,153
154,52,Furuhults byamän,,Furuhult,v,3,7,,,220,,,,154
155,52,Pettersson & Ramstedt,,Ramsås,v,4,7,,,220,:unselected:,,Delvis småindustri.,155
