1,2,,1,5,G,7,8,,10,11,12,13,14,1
156,49,Järsta Elektr. Belysningsförening,Säbrå,Abon. från Hernösands stad,,,-,Likström,,2 ×220,-,:unselected:,,156
15,52,Aspnäs Elektr. Andelsförening,,Aspnäs,V,70,10,,:unselected:,2×220,:unselected:,"-
:unselected:",,157
1581,,,,JLövvik,å,,10,,"-
:unselected:",220,:unselected:,-,Industriell drift.,158
159,-,Trävaru A .- B. Norrland,,| Ulvvik,å,,20,,,,,:unselected:,,159
160,53,Brunnefors Såg och Elektr. Kraftverks- förening,Stigsjö,Brunnefors,v,6,60,Trefas,50,10000/220,16,135,,160
161,53,Lars Wiklund,,Brunne,,-,7,Likström,,220,,,,161
162,53,"Otto Wiklund, Ultrå",,Ultrå Kvarn,A,,2.5,,,220,,:unselected:,Obetydlig,162
163,53,Spillböle byamän,,Vikeroten,v,,,,,,,,,163
164,53,"Lars Vestin, Sörgården",,Sörgårdens kvarn,v,,10,Likström,,2 × 220,,:unselected:,,164
165,53,"J. Granlöf, Sörgården",,»,v,-,10,,,220,,,,165
166,53,G. A. Nordin,,Hamre roten,,-,-,,,220,,,Obetydlig,166
167,54,Antjärns Elektr. Belysn .- förening,Häggdånger|,Antjärn,v,,7,,,2 × 220,,,,167
168,54,Sjö och Tjärnsjö Elektr. Bel .- förening,,Sjö,v,,7,,,2 ×220,,,,168
169,54,Häggdångers Elektr. And .- förening ..,,By,V,15,25,Trefas,50,6000/220,,,,169
170,54,Byfors Elektr. A .- B.,,,v,12,16,Likström,,2 × 220,,,,170
171,54,Sundsvalls Cellulosa A .- B.,,Åvike bruk,v,12,10,,-,220,-,,Delvis industri.,171
172,54,Nynäs-Häggsjö Elektr. And .- förening,,Häggsjö 80,V,,10,,,2× 220,,,,172
173,46,"Sunds A .- B., Sundsvall",Viksjö,Västanå bruk,V,--,10,,,220,,,,173
174,46,,,Villola,V,,10,,,220,,-,Närmare uppg. saknas.,174
175,37,Joh. Ullberg,Ullånger,Invik,V,11,75,Trefas,50,10000/380,11,150,,175
176,-,Salsåkers Ångsågs A .- B.,Nordingrå,Salsåker,å,,150,Likström,,220,,,Industriell drift.,176
177,35,Omne El. Kraft A .- B,,Omne,v,15,25,Trefas,50,3000/220,4,40,,177
178,35,Järnsta Kvarn och Elektricitetsverk,,Järnsta,V,14,10,Likström,,2 × 220,,-,,178
179,37,Arvid Hörnfeldt,Vibyggerå,Docksta,v,7,10,,,2 × 220,,,,179
180,37,Markoms Elektr. Andelsförening,=,Ö. V. Markom,v,9,7,,,2×220,,,,180
181,37,A .- B. Gröde Elektricitetsverk,,Gröde,V,9,15,,-,2×220,,-,,181
182,37,Kjäls och Käxeds byamän,,Kjäl,,13,12,,,2 × 220,,-,,182
183,37,"P. Wiberg, Herresta",,Herresta,,4,5,,,2 ×220,,-,,183
184,36,Nordingrå Kvarn- och Belysn .- andels- förening,Nora,Salteå,,14,125,Trefas,50,10000/380,,,,184
185,34,Bror Svensson,,,,5.5,40,,50,6000/220,19,75,,185
186,36,Östbygdens i Nora Kvarn och Elektr. Andelsförening,,Abon. fr. Nordingrå Kvarn och Elektr. Andelsförening,-,,,,50,10000/380,8,60,,186
187,-,Sandö Sågverks A .- B,,Nyadal,&,,128,Likström,-,220,-,,Industriell drift.,187
188,34,Hohl och Gräta byamän,,Gräta,V,,10,,-,220,-,,,188
189,33,"Erik Edström, Dala",Skog,Yttered,V,3.5,45,Trefas,50,10000/220,9,,,189
190,33,Övereds Elektricitetsförening,,Övered,V,5,32,,50,10000/220,8,,,190
191,34,Noraströms Kvarn och Elektr. fören.,Nora,Noraström,V,4,3,Likström,,220,--,-,,191
192,32,Smides A .- B. Berglund & Co.,Skog,Eriksfors,V,9.9,20,Trefas,50,10000/220,2,20,,192
193,45,Kungl. Telegrafstyrelsen,Hemsö,Radiostation,d,8,-,Likstrom,-,220,,-,,193
194,45,K. Marinförvaltn.,,Dalomsfortet,,-,,,,,-,,,194
,,,,Kraftlev. från Edsele kraftstation,,-,-,,,,,,,
195,-,Kramfors A .- B.,Gudmundrå,Kramfors sulfitfabrik - Frano sulfitfabrik m. fl.,å,-,2 150,Trefas,50,60000/40000/380,10,9 450,Enbart för industriell drift.,195
