1,,3,,5,6,7,8,9,10,11,12,13,14,1
196,44,Kramfors A .- B. Transf .- central i Gud- mundrå,Gudmundrå,Kraftlev. från Edsele kraftstation,-,-,-,Trefas,50,"10000/380, 220",13,c:a 340,För landsbygdsdistribution.,196
197,-,Sandvikens Sågverks A .- B.,,JAbon. fr. Graningeverkens A. B. Sandviken,-,,"-
75",1,50,400000/500/200,2,900,Industridrift huvudsakligen,197
1981 199,-,Svanö A .- B.,,Abon. for Graningeverkens A .- B. Svanöbruk,,,- 1 222,,50,40000/380,2,2 400,Enbart industridrift.,J 198 199
200,-,A. B.,,f Strömnäs,å,,296,Likström,,220,-,-,Industriell drift i huvudsak.,200
,,Strömnäs,,Abon. fr. Kramfors A .- B.,,,-,Trefas,50,"--
10000",,,,
20,-,Nensjö cellulosa A .- B.,,Abon. fr. Graningeverkens A .- B. Nensjö,å,,800,Trefas,50,40000/500,1,800,Huvudsakligen industriell drift.,201
202,-,Skärsvikens ångsåg,,Skärsviken,å,,8,Likström,-,220,-,-,Industriell drift.,202
203,44,Graningeverkens A. B. Transf. central i Lunde,,Kraftlev. från Forsse kraftstation,-,-,,Trefas,50,40000,-,,Transformator i Lunde 200 k VA.,203
204,44,Mjövattnets Elektriska Förening,,Nästvattnet,V,c:a 2,10,Likström,-,2 × 220,,-,,204
205,44,Bror Lidbaum,,Björsta,V a,5,40,,-,220,,-,,205
206,44,"Östby El -. verk, Mellander & C:o",,Östby,V d,13,125,Trefas,50,3000/190,6,70,-,206
207,,F. Th. Widegren,,Ramö sågverk,å,,,Likström,-,220,,-,,207
208,,Gustafsviks Örlogsdepå,Högsjö,Abon. fr. Kramfors A .- B.,-,,,Trefas,50,40000/500,1,,Industriell drift.,208
209,,"Torsviks Sågverk, Ramvik",2,2,,,,=,50,40000/500,1,,=,209
210,-,"Svanö Aktiebolag, Ramviks Sågverk",,"Abon. fr. D. A. Grafström, Bäckland",-,,250,Trefas,50,10000/190 380 -,1,40,JOmform. till likstr. Huvudsakl. industr. dr.,1 210
,,,,,V,35,125,,50,500,,,,
211,-,Utansjö Cellulosa A .- B.,,Utansjö,v å,35,19 70,Likström,- -,220 220,,,Industriell drift.,211
212,,Rö Nya Sågverks A .- B.,,Rö,å,,40,,,220,-,,,212
213,51,Vallåns Belysningsförening,,Vallån,v,3,16,,,2 × 220,,,,213
214,51,Kärrby Kraft och Lysförening,,Kärrby,v,6,16,=,,220,,,,214
215,51,D. A. Grafström,,Bäckland,v 1,8,50,Trefas,50,"10000/380, 190",1,40,Delvis industri.,215
216,51,Bäcklands byamän,,Bäckland,V,7,5,Likström,-,220,,-,,216
217,51,Jude m. fl. byamän,,Jude,V,4.5,8,,,220,-,,,217
218,51,Karlbergs m. fl. byamän,,Karlberg,V,6,18,,,2 × 220,,,,218
219,44,Kramfors Liefabrik,Gudmundrå,Öfverfälle,v,3,30,,,220,-,,,219
220,32,Bjärtrå Elektriska A .- B.,Bjärtrå,Sågmon,v,26,225,Trefas,50,10000/220,39,365,,220
221,-,Kungsgården-Mariebergs A .- B.,,Mariebergs sågverk,å,-,150,Likström,-,-,-,-,Industriell drift.,221
222,,Fjärdviks sågverks A .- B.,,JAbon. fr. Bjärtrå E. A .- B. Fjardvik,- å,,-,Trefas,50,10000/220,-,-,,222
223,,Ströms Trävaru A .- B.,,Köja sågverk,å,,60,Likström,,,-,,-,223
224,,Björkå A .- B. Hallstanäs träsliperi,,Kraftlev. från Högfors kraftstation,,,,Trefas,50,40000/3000,1,2 000,Industriell drift.,224
225,-,Lugnviks sågverk,,/ Lugnvik ... Kraftlev. från Högfors kraftstation ...,-,-,200 -,Likström Trefas,- 50,11/330 /140000,-,,,225
226,=,A .- B. Svenska Fönsterglasbruken,,Sandö glasbruk,,,50,Likström,-,220,-,-,,226
227|,56,Sunds A .- B.,Ljustorp,JRundbacken Lagfors,V,"82
14",1 700 300,Trefas,50,30000/6000/220,2,20,,227 ) 228
,56,Lövbergs och Björkoms byamän ...,,Abon. fr. Sunds A .- B.,-,-,-,,50,6000/220,1,10,-,229
,56,"Mellbergs, Höglands och Öppoms byamän",,,,,,2,50,6000/220,4,40,,230
