1,2,,4,5,G,,,7,8,9,1 0,11,,1:,14,1
351,65,Trävaru A .- B. Svartvik,Torp o. Borgsjö,Nordanede,v,,,5,100,Trefas,50,10000/220,8,90,,351
52,69,Borgsjötelje Belysningsförening ...,Borgsjö,Telje,v,,,,13,Likström,-,2 × 220,--,-,,352
353,69,Borgsjö Elektriska Förening,,,v,,,,125,Trefas,50,10000/380,11,110,,353
354,-,Alby Vattenfalls A .- B.,,Alby,v,,,22 J,1 220 2 250 3 590,Likström Enfas,"25
- 25",1 10000 och 6000/190,-,-,Industriell drift.,354
355,-,,,Ringdalen,v,,,17,4 500 550,Trefas,25 25,10000,-,,,355
356,-,Alby Kloratfabrik,,,,,,,,,,,,,,1 356
357,,Alby Carbidfabrik,,Abon. fr. Alby Vattenfalls A .- B,,,,-,-,-,,,,-,Enbart industriell drift.,357
358,70,Ånge Elektriska A .- B.,,,,,,-,-,Trefas,50,6000/190,12,100,,358
359,71,Föreningen Enighet ger ljus,Hafverö,Abon. fr. Kölsillre Kraft A .- B.,,,,:unselected:,,,50,6000/220,2,15,,359
360,71,Kölsillre Kraft A .- B.,,Kölsillre,,,,3.5,40,,50,6000/380,6,60,,360
361,72,Kraft A .- B. Turingen,,Hummelön,V,,,8,35,,50,10000/220,4,35,"Darav en transformator i Hand- { sjön, Jämtl. län.",361
362,71,Östavalls Elektriska A .- B.,,Östavall,V,,,1'2,23,Likström,-,2× 220,-,,,362
363,71,By Lyse A .- B.,,Abon. fr. Kölsillre Kraft A .- B.,-,,,-,-,Trefas,50,10000/220,4,35,Dessutom en upptransformator 6000/10000 volt.,363
364,-,David Levander,Anundsjö,Tjal,,,,,4,,50,380,,-,,6
