1,2,,4,Б,6,7,8,9,10,11,1
26,Surahammars bruks A .- B,Svedvi,J Alsatra kraftstation Samarbete med kraftstation nr 25,Vatten,24-3,540,3-fas,50,12000/,,26
27,,,J Västerkvarns kraftstation,,6.2-6.9,1 550,,,33000/,,27
,,Kolbäck,Samarbete med kraftstation nr 25,,,,,,,,
28,Hallstahammars A .- B.,,Hallstahammars kraftstation,,3.6-4'2,212,,,1700/220,,28
29 30,A .- B. Sörstafors Pappersbruk,Svedvi Kolbäck,Sörstafors,JÅnga Vatten,10-12 2-3 3,800 255 35,pod =,,13000 -,,29 30
31,A .- B. Svenska Metallverken,Svedvi,Trångfors kraftstation,Vatten,9.5-16-5,2 400,,,18000/380 o. 190,,31
,,,|Angreservation ..,Ånga,-,1 125,,,13000/380 o. 190,,32
32,,Västerås,Samarbete med kraftstationerna nris 1 21 och 30,,,,,,,,
33 34,Västerås kraftverk Västerås stad.,,/ Västerås ångcentral. Samarbete med kraftstation nr 25 | Västerås elektricitetsverk Abon. från Älvkarleby kraftverk. (Kolsva kraftstation,/ Vatten Diesel Vatten,- 2.5-3.7 5,"42 000 115 480
110","och likström
3-fas",» - 50,"(120000/70000 och)
20000/60001 6000/220 Likström 2× 220 -- 33000/",-,33 34 35
35,Kolsva Järnverks A .- B.,Bro o. Malma,Samarbete med kraftstationerna nris 17-20,,,,,,,,
36,Lyftinge elektr. distributionsförening u. p. a.,Malma,Lyftinge kraftstation,2,4,108,,,3300/220,,36
37,Köpings stad,Köpings If.,Ekeby,,,200,,,20000/3000/220,,37
38,,stad,Köpings elektricitetsverk,Diesel,-,360,och likström,-,o. likström 2 × 220,,38
,,,Abon. från Alvkarleby kraftverk,,,,,,,,
39,Fredr. Lorichs,V. Skedvi,Valsta kraftstation,Vatten,,3,likström,,110,,39
40,Jäders bruk,Arboga If.,Jäders bruks,,4.1,500,3-fas,50,15000/1600/,-,40
41,A .- B. Arboga Mek. Verkstad,,Grindberga,,3-53 11-1'5,1 520 66,,-,5000/500,,41
42,Arboga stad,Arboga stad,|Arboga elektricitetsverk,Ånga,-,225,/ 3-fas och likström,50 -,500 Likström 2× 110,,42
,,,Abon. från Grindberga kraftstation.,,-,-,--,,,,
43,Hjelmare Kanal och Slussverks A .- B.,Säterbo,Hallby träsliperi kraftstation,Vatten,6.5,60,,-,3000/,,43
44,B. L. Blix,Björskog,Östuna kraftstation,=,,c:a 65,3-fas,50,6000/,,44
45,A .- B. Sala el .- verk,Sala stad,(Sala elektricitetsverk,Ånga,,335,/ 3-fas och 1 likstrom,,1500/ Likstrom 2×220,Reservstation.,45
,,,|Abon. från Älvkarleby kraftverk,-,,-,3-fas,50,20000/1500,,
46,Sevalla elektriska industriförening,Sevalla,Sevalla kraftstation,Vatten,,c:a 40,,,1500/220,,46
47,Strömsbergs elektriska industriförening,Björksta,Strömsbergs,,,c:a 80,,,1500/220,,47
,Norbergs Södra elektr. distributionsfören.,Norberg,Abon. från Wirsbo-Ramnäs Kraft A .- B.,,,-,,,33000/1700/380,,48
,Ombenning-Sundby elektr.,Västervåla,,--,-,-,,,33000/3300/220,,49
,Västanfors Elektriska A .- B.,Västanfors,,,,,,,33000/3300/190,,50
,Hedkärra-Onsjö-Avestbo belysnings A .- B,,,-,-,-,»,,33000/3300/220,,51
,Fagersta brukssamhälle,=,Kraftlev. från Fagersta bruks A .- B.,,,,,,2000/,,52
,Brukspatron G. Thorells sterbhus,Västervåla,Abon. från Wirsbo-Ramnäs Kraft A .- B.,,-,,,,33000/900/190,,53
,Engelsbergs Elektriska A .- B.,,,,,-,,,33000/380 o. 220,,54
55,"Riddarhyttans brukssamhälle, Godkärra el. bel .- fören. m. fl. abonnenter och industri- företag",/Skinn- skatteberg )|,Kraftlev. fr. Riddarhytte bruks A .- B.,-,-,,,2,10000/220,,55
