1,2,,4,5,6,7,8,9,,11,1
56,Ramnäs brukssamhälle,Ramnäs,Kraftlev.fr. Wirsbo-Ramnäs KraftA .- B.,-,"-
:unselected:",-,3-fas,50,1700/,"-
:unselected:",56
57,Guttsta Elektriska A .- B.,Malma,Abon. 2,,:unselected:,-,,,33000/6000/220,,57
58,Viby elektriska distributionsförening,Arboga If.,Abon. från Jaders bruk.,:unselected:,:unselected:,"-
:unselected:",,,1500/220,,58
59,Granhammars elektr. distributionsförening,Kung Karl,"Abon. från Kungsörs Vatten- och be-
lysningsverk",- -,"-
:unselected:",-,,,3000/220,,59
60,V. Fernebo 2,V. Fernebo,Abon. från Alvkarleby Kraftverk,-,"-
:unselected:",-,,,20000/3000/220,,60
61,Fläckebo =,Sätrabrunn,,-,-,-,,»,,,61
62,Harakers 2 =,Skultuna,2,:unselected:,,,,,,,62
63,Romfartuna,Tillberga,» ...,-,,,,,20000/1500/220,,63
64,Tillberga-Hubbo och Tillberga elektr. distr .- föreningar ...,,2,-,,,,,,,64
65,Badelunda elektr. distributionsförening,Västerås,...,,,,,,,,65
66,Dingtuna,Dingtuna,2 = ....,,,-,,,20000/3000/220,,66
67,Västerås-Barkarö »,"Västerås- )
Barkaro /",09118,8-5,,-,,,20000/1500/220,,67
68,Rytterne =,Rytterne,...,-,-,,,,20000/3000/220,,68
69,Strömsholms ridskola och Strömsholms el. distr .- förening ...,Kolbäck,,,,,,,,,69
70,Säby elektr. distributionsförening,,...,,-,-,,,,,70
71,Svedvi,Svedvi,..,-,,,,,,,71
72,Kolbäck-Bergs,Berg,= ...,,,,,,,,72
73,Berga,Munktorp,. .,,,,,,,,73
74,Munktorps =,,...,,,,,,,,74
75,Torpa,Torpa,= =,-,,-,,,,,75
76,Kungsörortens,Kung Karl,...,-,,-,,,2,,76
77,Irsta-Kärrbo,Kärrbo,= ...,,,,,,,,77
78,Teda,,...,-,-,-,,»,(20000/3000 och 1 1500/220J,(En del av området be- lägen inom Uppsala 1 län.,1 78
79,Tortuna,Tortuna,» » ..,,-,,,,20000/1500/220,,79
80,Simtuna »,Simtuna,»,-,,,,,20000/3000/220,,80
81,Frösthults =,Frösthult,2 ...,-,-,-,,,,,81
82,Härnevi,Härnevi,,-,-,,,,=,JOmfattar även en del av Uppsala län.,-- 82
83,Torstuna-Österunda el. distributionsfören ...,Österunda,= 2 ...,,,,,,,D:o,83
84,Altuna elektr. distributionsförening,Altuna,,-,,-,,,,,84
85,Tärna,Tärna,,-,,,,2,,,85
86,Ransta = =,Kumla,...,,,,,,20000/1500/220,,86
87,Kumla,=,..,,,,,,,,87
88,Kila,Kila,» ...,,,,,,,,88
89,Kila norra »,,...,,,,,,20000/3000/220,,89
90,Saladamms,Saladamm,,,-,,,,20000/1500/220,,90
91,Västerlövsta s.,Västerlövsta,2 ...,-,-,,,»,20000/3000/200,,91
92,Vittinge 2,Vittinge,= 2,-,,,,»,,,
93,A .- B. Västeråsmaskiner,,... Egen angreservstation,- Ånga,,,,,,,93
94,J Västerlövsta norra elektr. distributionsför. Heby Elektriska A .- B,,Abon. från Älvkarleby Kraftverk ...,-,,-,»,,,,94
95,Huddunge elektr. distributionsförening,Huddunge,...,-,,-,»,,,,95
