1,2,8,4,,5,6,,8,9,10,11,1
96,Runhällens elektr. distributionsförening,Enåker,Abon. från Älvkarleby Kraftverk ...,,,,1,3-fas,50,20000/3000/220,,96
97,Möklinta,Möklinta,...,,,:unselected:,:unselected:,,,40000/3000/380,,97
98,Brovallens,| Väster- ) färnebo,= ...,,"-
:unselected:","-
:unselected:",-,,,,"(Endast en mindre del
av området beläget 1 inom Västmanl. län.","-
98"
99,Nora,Nora,...,,,:unselected:,-,=,,20000/3000/220,,99
100,Tärnsjö,,...,,,:unselected:,:unselected:,,2,,,100
101,Nora,,= ...,,-,-,,=,,,,101
102,Ostervåla,Östervåla,= ...,,-,:unselected:,,,,,,102
103,»,,. ..,,:unselected:,,-,,,,,103
104,A. P. Eriksson,Möklinta,Forsbo kraftstation,,Vatten,,12,likström,-,220,,104
105,A .- B. Svenska Metallverken,v. Färnebo,Hörnsjöfors Bruk,,,-,-,,,,,105
106,Karbennings Fattigv. Styrelse.,Karbenning,Karbenning,,,-,,,-,110,--,106
107,Västervåla elektr. distributionsförening,Västervåla,Abon. från Virsbo-Ramnäs Kraft A .- B.,,-,,,3-fas,50,33000/3300/220,,107
108,Tomtebo Belysn. A .- B. ..,Svedvi,Närmare uppgifter saknas,,,,Närmare,uppgifter,saknas.,,,108
109,Högfors och Persbo A .- B.,Karbenning,Abon. från Virsbo-Ramnäs Kraft A .- B.,,,,-,3-fas,50,3300/,,109
110,Skultuna el. distr .- fören. m. fl. abonnenter,Skultuna,= » Skultuna Bruk,,-,,,,,"(13000/1500/220 och
1 13000/380",")
/",110
111,Medåkers elektr. distributionsförening,Medåker,JAbon. från Grindbergs kraftstation (nr 41),,-,,-,,,5000,,111
112,"Horndals Järnverks A .- B., Långgruvan",Norberg,Kraftleverans från Näs kraftstation.,,,-,--,,,20000/380,,112
113,Statens Skogsskola,,Abon. från Norbergs El. A .- B,,,,,,,33000/380,,113
114,Gruv A .- B. Stark,,= Virsbo-Ramnas Kraft A .- B.,,,,,,,33000/,,114
115,Ljusne-Voxna A .- B.,Västanfors,,,-,,--,,,33000/380,,115
116,Angelsbergs Bruk,Västervåla,=,,,,-,,"""",,,116
117,"Statens Vattenfallsverk, Trummelsberg",,,,,,,,,,,117
118,Baggå Ångsåg,/Skinn- skatteberg],:unselected:,,-,-,,,,33000/,,118
119,"Statens Vattenfallsverk, Stormossen",Ramnäs,Kraft från Älvkarleby Kraftverk,,,,,,,20000/,,119
120,Gisslarbo samhälle m. m.,Malma,Abon. från Riddarhytte A .- B.,,,,,,,25000/380,,120
121,Jönsarbo samhälle,Hed,,,,,,"""",,25000/,,121
122,Sala gruva,Sala stad,Älvkarleby Kraftverk,,,,,,2,20000/,,122
